Year,ID1,Latitude,Longitude,Elevation,MAT,MAP
1960,West Fork Mojave River,34.28425,-117.375397,1087,14.7,485
1960,Whitewater Canyon,33.99329,-116.662697,696,18.3,156
1960,Willow Creek,39.45785,-121.061798,748,14.3,1495
1961,Bear Creek,36.20696,-118.726898,1119,13.6,332
1961,Buck Meadows,37.77722,-120.063301,830,13.5,555
1961,Canton Creek,43.4137,-122.780403,503,10.8,1751
1961,Carlon,37.81006,-119.856796,1320,11,591
1961,Cherokee Creek,39.55384,-120.987801,1289,12.2,1300
1961,Chino Creek,39.73262,-121.4039,776,13.8,1271
1961,Coast Fork of Williamette,43.6517,-123.087997,254,11.1,1539
1961,Corral Creek,35.8529,-118.447304,982,14.8,173
1961,Deep Creek,41.66546,-123.113403,694,12.4,199
1961,Deer Creek,42.27525,-123.639999,387,11.9,1783
1961,Fiddle Creek,39.5204,-120.998199,706,13.7,1127
1961,Hauser Creek,32.65822,-116.532303,788,14.3,161
1961,Kitchen Creek,32.75206,-116.452202,1173,12.8,207
1961,Little Jameson Creek,39.74298,-120.704002,1592,9,869
1961,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,14.1,1098
1961,Mill Creek,34.07808,-116.875603,1992,8.7,330
1961,Moss Creek Merced Drainage,37.67203,-119.818199,529,14.5,475
1961,North Fork Middle Fork Tule,36.20081,-118.650902,1284,12.6,359
1961,North Fork Tuolumne,37.98555,-120.204498,689,14.1,560
1961,O'Neil Creek,41.80979,-123.118896,487,12.1,952
1961,Oregon Creek,39.39704,-121.082001,448,15.6,938
1961,Paradise Creek,36.51883,-118.7603,887,14.6,342
1961,Rainbow Pool,37.81878,-120.007301,833,13.1,551
1961,Redwood Creek,36.68952,-118.909599,1677,10.1,427
1961,Rock Creek,43.37876,-122.952103,295,11.2,1820
1961,South Fork Middle Fork Tule,36.13756,-118.574097,1664,9.9,420
1961,Sweetwater Creek,37.64232,-119.924797,370,15.3,405
1961,Sweetwater River,32.89913,-116.586502,1386,12.6,308
1961,Wawona,37.53822,-119.651398,1208,11.9,570
1961,West Fork Mojave River,34.28425,-117.375397,1087,14.6,273
1961,Whitewater Canyon,33.99329,-116.662697,696,18.1,112
1961,Willow Creek,39.45785,-121.061798,748,14.1,984
1962,Bear Creek,36.20696,-118.726898,1119,13.3,725
1962,Buck Meadows,37.77722,-120.063301,830,13,874
1962,Canton Creek,43.4137,-122.780403,503,10.4,1281
1962,Carlon,37.81006,-119.856796,1320,10.5,896
1962,Cherokee Creek,39.55384,-120.987801,1289,11.8,2208
1962,Chino Creek,39.73262,-121.4039,776,13.7,1735
1962,Coast Fork of Williamette,43.6517,-123.087997,254,10.6,1095
1962,Corral Creek,35.8529,-118.447304,982,14.7,444
1962,Deep Creek,41.66546,-123.113403,694,11.9,207
1962,Deer Creek,42.27525,-123.639999,387,11.5,1529
1962,Fiddle Creek,39.5204,-120.998199,706,13.4,1918
1962,Hauser Creek,32.65822,-116.532303,788,13.8,230
1962,Kitchen Creek,32.75206,-116.452202,1173,12.4,299
1962,Little Jameson Creek,39.74298,-120.704002,1592,8.4,1608
1962,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,13.9,1683
1962,Mill Creek,34.07808,-116.875603,1992,8.4,506
1962,Moss Creek Merced Drainage,37.67203,-119.818199,529,14.1,766
1962,North Fork Middle Fork Tule,36.20081,-118.650902,1284,12.3,835
1962,North Fork Tuolumne,37.98555,-120.204498,689,13.7,898
1962,O'Neil Creek,41.80979,-123.118896,487,11.6,922
1962,Oregon Creek,39.39704,-121.082001,448,15.3,1538
1962,Paradise Creek,36.51883,-118.7603,887,14.3,760
1962,Rainbow Pool,37.81878,-120.007301,833,12.6,861
1962,Redwood Creek,36.68952,-118.909599,1677,9.7,922
1962,Rock Creek,43.37876,-122.952103,295,10.7,1333
1962,South Fork Middle Fork Tule,36.13756,-118.574097,1664,9.7,991
1962,Sweetwater Creek,37.64232,-119.924797,370,14.8,639
1962,Sweetwater River,32.89913,-116.586502,1386,12.2,512
1962,Wawona,37.53822,-119.651398,1208,11.5,958
1962,West Fork Mojave River,34.28425,-117.375397,1087,14.3,487
1962,Whitewater Canyon,33.99329,-116.662697,696,18,165
1962,Willow Creek,39.45785,-121.061798,748,13.8,1630
1963,Bear Creek,36.20696,-118.726898,1119,12.7,966
1963,Buck Meadows,37.77722,-120.063301,830,12.9,1144
1963,Canton Creek,43.4137,-122.780403,503,10.5,1474
1963,Carlon,37.81006,-119.856796,1320,10.4,1284
1963,Cherokee Creek,39.55384,-120.987801,1289,11.6,2124
1963,Chino Creek,39.73262,-121.4039,776,13.5,1706
1963,Coast Fork of Williamette,43.6517,-123.087997,254,10.7,1271
1963,Corral Creek,35.8529,-118.447304,982,14.3,550
1963,Deep Creek,41.66546,-123.113403,694,12.1,199
1963,Deer Creek,42.27525,-123.639999,387,11.6,1701
1963,Fiddle Creek,39.5204,-120.998199,706,13.1,1816
1963,Hauser Creek,32.65822,-116.532303,788,14.6,273
1963,Kitchen Creek,32.75206,-116.452202,1173,13.1,380
1963,Little Jameson Creek,39.74298,-120.704002,1592,8.3,1626
1963,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,13.7,1534
1963,Mill Creek,34.07808,-116.875603,1992,8.3,819
1963,Moss Creek Merced Drainage,37.67203,-119.818199,529,14,1041
1963,North Fork Middle Fork Tule,36.20081,-118.650902,1284,11.8,1118
1963,North Fork Tuolumne,37.98555,-120.204498,689,13.5,1089
1963,O'Neil Creek,41.80979,-123.118896,487,11.8,925
1963,Oregon Creek,39.39704,-121.082001,448,14.9,1475
1963,Paradise Creek,36.51883,-118.7603,887,13.7,1124
